Time_ms,Mode,Setpoint_RPM,Setpoint_PWM,Actual_RPM,PWM_Output,Voltage_V,Delta_Count,Raw_RPM,X_hat,Dir,KF_W,KF_V,TrustRatio,LQG_L,NoiseN,NoiseDone
424480,0,0,250,40.69,250,3.003,6,38.41,40.69,1,0.01,0.05,0.2,0.3,0,1
424490,0,0,250,40.24,250,3.003,6,38.41,40.24,1,0.01,0.05,0.2,0.3,0,1
424500,0,0,250,41.15,250,3.003,7,44.81,41.15,1,0.01,0.05,0.2,0.3,0,1
424510,0,0,250,40.6,250,3.003,6,38.41,40.6,1,0.01,0.05,0.2,0.3,0,1
424520,0,0,250,41.45,250,3.003,7,44.81,41.45,1,0.01,0.05,0.2,0.3,0,1
424530,0,0,250,40.84,250,3.003,6,38.41,40.84,1,0.01,0.05,0.2,0.3,0,1
424540,0,0,250,40.35,250,3.003,6,38.41,40.35,1,0.01,0.05,0.2,0.3,0,1
424550,0,0,250,39.97,250,3.003,6,38.41,39.97,1,0.01,0.05,0.2,0.3,0,1
424560,0,0,250,40.94,250,3.003,7,44.81,40.94,1,0.01,0.05,0.2,0.3,0,1
424570,0,0,250,40.43,250,3.003,6,38.41,40.43,1,0.01,0.05,0.2,0.3,0,1
424580,0,0,250,41.31,250,3.003,7,44.81,41.31,1,0.01,0.05,0.2,0.3,0,1
424590,0,0,250,40.73,250,3.003,6,38.41,40.73,1,0.01,0.05,0.2,0.3,0,1
424600,0,0,250,40.27,250,3.003,6,38.41,40.27,1,0.01,0.05,0.2,0.3,0,1
424610,0,0,250,41.18,250,3.003,7,44.81,41.18,1,0.01,0.05,0.2,0.3,0,1
424620,0,0,250,40.62,250,3.003,6,38.41,40.62,1,0.01,0.05,0.2,0.3,0,1
424630,0,0,250,41.46,250,3.003,7,44.81,41.46,1,0.01,0.05,0.2,0.3,0,1
424640,0,0,250,40.85,250,3.003,6,38.41,40.85,1,0.01,0.05,0.2,0.3,0,1
424650,0,0,250,40.36,250,3.003,6,38.41,40.36,1,0.01,0.05,0.2,0.3,0,1
424660,0,0,250,39.97,250,3.003,6,38.41,39.97,1,0.01,0.05,0.2,0.3,0,1
424670,0,0,250,40.94,250,3.003,7,44.81,40.94,1,0.01,0.05,0.2,0.3,0,1
424680,0,0,250,41.72,250,3.003,7,44.81,41.72,1,0.01,0.05,0.2,0.3,0,1
424690,0,0,250,41.06,250,3.003,6,38.41,41.06,1,0.01,0.05,0.2,0.3,0,1
424700,0,0,250,40.53,250,3.003,6,38.41,40.53,1,0.01,0.05,0.2,0.3,0,1
424710,0,0,250,40.1,250,3.003,6,38.41,40.1,1,0.01,0.05,0.2,0.3,0,1
424720,0,0,250,41.05,250,3.003,7,44.81,41.05,1,0.01,0.05,0.2,0.3,0,1
424730,0,0,250,41.8,250,3.003,7,44.81,41.8,1,0.01,0.05,0.2,0.3,0,1
424740,0,0,250,41.12,250,3.003,6,38.41,41.12,1,0.01,0.05,0.2,0.3,0,1
424750,0,0,250,40.58,250,3.003,6,38.41,40.58,1,0.01,0.05,0.2,0.3,0,1
424760,0,0,250,41.43,250,3.003,7,44.81,41.43,1,0.01,0.05,0.2,0.3,0,1
424770,0,0,250,40.82,250,3.003,6,38.41,40.82,1,0.01,0.05,0.2,0.3,0,1
424780,0,0,250,41.62,250,3.003,7,44.81,41.62,1,0.01,0.05,0.2,0.3,0,1
424790,0,0,250,40.98,250,3.003,6,38.41,40.98,1,0.01,0.05,0.2,0.3,0,1
424800,0,0,250,40.47,250,3.003,6,38.41,40.47,1,0.01,0.05,0.2,0.3,0,1
424810,0,0,250,41.34,250,3.003,7,44.81,41.34,1,0.01,0.05,0.2,0.3,0,1
424820,0,0,250,42.03,250,3.003,7,44.81,42.03,1,0.01,0.05,0.2,0.3,0,1
424830,0,0,250,41.31,250,3.003,6,38.41,41.31,1,0.01,0.05,0.2,0.3,0,1
424840,0,0,250,40.73,250,3.003,6,38.41,40.73,1,0.01,0.05,0.2,0.3,0,1
424850,0,0,250,41.55,250,3.003,7,44.81,41.55,1,0.01,0.05,0.2,0.3,0,1
424860,0,0,250,40.92,250,3.003,6,38.41,40.92,1,0.01,0.05,0.2,0.3,0,1
424870,0,0,250,41.7,250,3.003,7,44.81,41.7,1,0.01,0.05,0.2,0.3,0,1
424880,0,0,250,41.04,250,3.003,6,38.41,41.04,1,0.01,0.05,0.2,0.3,0,1
424890,0,0,250,40.52,250,3.003,6,38.41,40.52,1,0.01,0.05,0.2,0.3,0,1
424900,0,0,250,41.38,250,3.003,7,44.81,41.38,1,0.01,0.05,0.2,0.3,0,1
424910,0,0,250,42.06,250,3.003,7,44.81,42.06,1,0.01,0.05,0.2,0.3,0,1
424920,0,0,250,41.33,250,3.003,6,38.41,41.33,1,0.01,0.05,0.2,0.3,0,1
424930,0,0,250,40.75,250,3.003,6,38.41,40.75,1,0.01,0.05,0.2,0.3,0,1
424940,0,0,250,41.56,250,3.003,7,44.81,41.56,1,0.01,0.05,0.2,0.3,0,1
424950,0,0,250,42.21,250,3.003,7,44.81,42.21,1,0.01,0.05,0.2,0.3,0,1
424960,0,0,250,41.45,250,3.003,6,38.41,41.45,1,0.01,0.05,0.2,0.3,0,1
424970,0,0,250,40.84,250,3.003,6,38.41,40.84,1,0.01,0.05,0.2,0.3,0,1
424980,0,0,250,41.64,250,3.003,7,44.81,41.64,1,0.01,0.05,0.2,0.3,0,1
424990,0,0,250,40.99,250,3.003,6,38.41,40.99,1,0.01,0.05,0.2,0.3,0,1
425000,0,0,250,41.76,250,3.003,7,44.81,41.76,1,0.01,0.05,0.2,0.3,0,1
425010,0,0,250,41.09,250,3.003,6,38.41,41.09,1,0.01,0.05,0.2,0.3,0,1
425020,0,0,250,41.83,250,3.003,7,44.81,41.83,1,0.01,0.05,0.2,0.3,0,1
425030,0,0,250,42.43,250,3.003,7,44.81,42.43,1,0.01,0.05,0.2,0.3,0,1
425040,0,0,250,41.63,250,3.003,6,38.41,41.63,1,0.01,0.05,0.2,0.3,0,1
425050,0,0,250,40.98,250,3.003,6,38.41,40.98,1,0.01,0.05,0.2,0.3,0,1
425060,0,0,250,41.75,250,3.003,7,44.81,41.75,1,0.01,0.05,0.2,0.3,0,1
425070,0,0,250,41.08,250,3.003,6,38.41,41.08,1,0.01,0.05,0.2,0.3,0,1
425080,0,0,250,41.83,250,3.003,7,44.81,41.83,1,0.01,0.05,0.2,0.3,0,1
425090,0,0,250,41.15,250,3.003,6,38.41,41.15,1,0.01,0.05,0.2,0.3,0,1
425100,0,0,250,41.88,250,3.003,7,44.81,41.88,1,0.01,0.05,0.2,0.3,0,1
425110,0,0,250,42.47,250,3.003,7,44.81,42.47,1,0.01,0.05,0.2,0.3,0,1
425120,0,0,250,41.66,250,3.003,6,38.41,41.66,1,0.01,0.05,0.2,0.3,0,1
425130,0,0,250,41.01,250,3.003,6,38.41,41.01,1,0.01,0.05,0.2,0.3,0,1
425140,0,0,250,41.77,250,3.003,7,44.81,41.77,1,0.01,0.05,0.2,0.3,0,1
425150,0,0,250,42.38,250,3.003,7,44.81,42.38,1,0.01,0.05,0.2,0.3,0,1
425160,0,0,250,41.58,250,3.003,6,38.41,41.58,1,0.01,0.05,0.2,0.3,0,1
425170,0,0,250,42.23,250,3.003,7,44.81,42.23,1,0.01,0.05,0.2,0.3,0,1
425180,0,0,250,41.47,250,3.003,6,38.41,41.47,1,0.01,0.05,0.2,0.3,0,1
425190,0,0,250,42.14,250,3.003,7,44.81,42.14,1,0.01,0.05,0.2,0.3,0,1
425200,0,0,250,41.39,250,3.003,6,38.41,41.39,1,0.01,0.05,0.2,0.3,0,1
425210,0,0,250,42.08,250,3.003,7,44.81,42.08,1,0.01,0.05,0.2,0.3,0,1
425220,0,0,250,42.62,250,3.003,7,44.81,42.62,1,0.01,0.05,0.2,0.3,0,1
425230,0,0,250,41.78,250,3.003,6,38.41,41.78,1,0.01,0.05,0.2,0.3,0,1
425240,0,0,250,41.11,250,3.003,6,38.41,41.11,1,0.01,0.05,0.2,0.3,0,1
425250,0,0,250,41.85,250,3.003,7,44.81,41.85,1,0.01,0.05,0.2,0.3,0,1
425260,0,0,250,42.44,250,3.003,7,44.81,42.44,1,0.01,0.05,0.2,0.3,0,1
425270,0,0,250,41.64,250,3.003,6,38.41,41.64,1,0.01,0.05,0.2,0.3,0,1
425280,0,0,250,42.27,250,3.003,7,44.81,42.27,1,0.01,0.05,0.2,0.3,0,1
425290,0,0,250,42.78,250,3.003,7,44.81,42.78,1,0.01,0.05,0.2,0.3,0,1
425300,0,0,250,41.91,250,3.003,6,38.41,41.91,1,0.01,0.05,0.2,0.3,0,1
425310,0,0,250,41.21,250,3.003,6,38.41,41.21,1,0.01,0.05,0.2,0.3,0,1
425320,0,0,250,41.93,250,3.003,7,44.81,41.93,1,0.01,0.05,0.2,0.3,0,1
425330,0,0,250,42.51,250,3.003,7,44.81,42.51,1,0.01,0.05,0.2,0.3,0,1
425340,0,0,250,41.69,250,3.003,6,38.41,41.69,1,0.01,0.05,0.2,0.3,0,1
425350,0,0,250,42.31,250,3.003,7,44.81,42.31,1,0.01,0.05,0.2,0.3,0,1
425360,0,0,250,41.53,250,3.003,6,38.41,41.53,1,0.01,0.05,0.2,0.3,0,1
425370,0,0,250,42.19,250,3.003,7,44.81,42.19,1,0.01,0.05,0.2,0.3,0,1
425380,0,0,250,41.43,250,3.003,6,38.41,41.43,1,0.01,0.05,0.2,0.3,0,1
425390,0,0,250,42.11,250,3.003,7,44.81,42.11,1,0.01,0.05,0.2,0.3,0,1
425400,0,0,250,42.65,250,3.003,7,44.81,42.65,1,0.01,0.05,0.2,0.3,0,1
425410,0,0,250,41.8,250,3.003,6,38.41,41.8,1,0.01,0.05,0.2,0.3,0,1
