Time_ms,Mode,Setpoint_RPM,Setpoint_PWM,Actual_RPM,PWM_Output,Voltage_V,Delta_Count,Raw_RPM,X_hat,Dir,KF_W,KF_V,TrustRatio,LQG_L,NoiseN,NoiseDone
1138900,0,0,250,42.8,250,3.003,6,38.41,42.8,1,1.974374,9.871872,0.2,0.303981,1000,1
1138910,0,0,250,44.48,250,3.003,8,51.22,44.48,1,1.974374,9.871872,0.2,0.303981,1000,1
1138920,0,0,250,43.27,250,3.003,6,38.41,43.27,1,1.974374,9.871872,0.2,0.303981,1000,1
1138930,0,0,250,43.58,250,3.003,7,44.81,43.58,1,1.974374,9.871872,0.2,0.303981,1000,1
1138940,0,0,250,43.82,250,3.003,7,44.81,43.82,1,1.974374,9.871872,0.2,0.303981,1000,1
1138950,0,0,250,44.02,250,3.003,7,44.81,44.02,1,1.974374,9.871872,0.2,0.303981,1000,1
1138960,0,0,250,44.18,250,3.003,7,44.81,44.18,1,1.974374,9.871872,0.2,0.303981,1000,1
1138970,0,0,250,43.03,250,3.003,6,38.41,43.03,1,1.974374,9.871872,0.2,0.303981,1000,1
1138980,0,0,250,44.66,250,3.003,8,51.22,44.66,1,1.974374,9.871872,0.2,0.303981,1000,1
1138990,0,0,250,43.41,250,3.003,6,38.41,43.41,1,1.974374,9.871872,0.2,0.303981,1000,1
1139000,0,0,250,43.69,250,3.003,7,44.81,43.69,1,1.974374,9.871872,0.2,0.303981,1000,1
1139010,0,0,250,43.92,250,3.003,7,44.81,43.92,1,1.974374,9.871872,0.2,0.303981,1000,1
1139020,0,0,250,44.1,250,3.003,7,44.81,44.1,1,1.974374,9.871872,0.2,0.303981,1000,1
1139030,0,0,250,44.24,250,3.003,7,44.81,44.24,1,1.974374,9.871872,0.2,0.303981,1000,1
1139040,0,0,250,44.36,250,3.003,7,44.81,44.36,1,1.974374,9.871872,0.2,0.303981,1000,1
1139050,0,0,250,44.45,250,3.003,7,44.81,44.45,1,1.974374,9.871872,0.2,0.303981,1000,1
1139060,0,0,250,43.24,250,3.003,6,38.41,43.24,1,1.974374,9.871872,0.2,0.303981,1000,1
1139070,0,0,250,44.84,250,3.003,8,51.22,44.84,1,1.974374,9.871872,0.2,0.303981,1000,1
1139080,0,0,250,43.55,250,3.003,6,38.41,43.55,1,1.974374,9.871872,0.2,0.303981,1000,1
1139090,0,0,250,45.08,250,3.003,8,51.22,45.08,1,1.974374,9.871872,0.2,0.303981,1000,1
1139100,0,0,250,43.75,250,3.003,6,38.41,43.75,1,1.974374,9.871872,0.2,0.303981,1000,1
1139110,0,0,250,43.96,250,3.003,7,44.81,43.96,1,1.974374,9.871872,0.2,0.303981,1000,1
1139120,0,0,250,44.13,250,3.003,7,44.81,44.13,1,1.974374,9.871872,0.2,0.303981,1000,1
1139130,0,0,250,44.27,250,3.003,7,44.81,44.27,1,1.974374,9.871872,0.2,0.303981,1000,1
1139140,0,0,250,44.38,250,3.003,7,44.81,44.38,1,1.974374,9.871872,0.2,0.303981,1000,1
1139150,0,0,250,44.47,250,3.003,7,44.81,44.47,1,1.974374,9.871872,0.2,0.303981,1000,1
1139160,0,0,250,44.54,250,3.003,7,44.81,44.54,1,1.974374,9.871872,0.2,0.303981,1000,1
1139170,0,0,250,43.31,250,3.003,6,38.41,43.31,1,1.974374,9.871872,0.2,0.303981,1000,1
1139180,0,0,250,44.89,250,3.003,8,51.22,44.89,1,1.974374,9.871872,0.2,0.303981,1000,1
1139190,0,0,250,43.6,250,3.003,6,38.41,43.6,1,1.974374,9.871872,0.2,0.303981,1000,1
1139200,0,0,250,45.12,250,3.003,8,51.22,45.12,1,1.974374,9.871872,0.2,0.303981,1000,1
1139210,0,0,250,43.78,250,3.003,6,38.41,43.78,1,1.974374,9.871872,0.2,0.303981,1000,1
1139220,0,0,250,45.27,250,3.003,8,51.22,45.27,1,1.974374,9.871872,0.2,0.303981,1000,1
1139230,0,0,250,43.9,250,3.003,6,38.41,43.9,1,1.974374,9.871872,0.2,0.303981,1000,1
1139240,0,0,250,44.08,250,3.003,7,44.81,44.08,1,1.974374,9.871872,0.2,0.303981,1000,1
1139250,0,0,250,44.23,250,3.003,7,44.81,44.23,1,1.974374,9.871872,0.2,0.303981,1000,1
1139260,0,0,250,44.34,250,3.003,7,44.81,44.34,1,1.974374,9.871872,0.2,0.303981,1000,1
1139270,0,0,250,44.44,250,3.003,7,44.81,44.44,1,1.974374,9.871872,0.2,0.303981,1000,1
1139280,0,0,250,44.51,250,3.003,7,44.81,44.51,1,1.974374,9.871872,0.2,0.303981,1000,1
1139290,0,0,250,44.57,250,3.003,7,44.81,44.57,1,1.974374,9.871872,0.2,0.303981,1000,1
1139300,0,0,250,44.62,250,3.003,7,44.81,44.62,1,1.974374,9.871872,0.2,0.303981,1000,1
1139310,0,0,250,44.66,250,3.003,7,44.81,44.66,1,1.974374,9.871872,0.2,0.303981,1000,1
1139320,0,0,250,43.41,250,3.003,6,38.41,43.41,1,1.974374,9.871872,0.2,0.303981,1000,1
1139330,0,0,250,44.97,250,3.003,8,51.22,44.97,1,1.974374,9.871872,0.2,0.303981,1000,1
1139340,0,0,250,43.66,250,3.003,6,38.41,43.66,1,1.974374,9.871872,0.2,0.303981,1000,1
1139350,0,0,250,45.17,250,3.003,8,51.22,45.17,1,1.974374,9.871872,0.2,0.303981,1000,1
1139360,0,0,250,43.82,250,3.003,6,38.41,43.82,1,1.974374,9.871872,0.2,0.303981,1000,1
1139370,0,0,250,44.02,250,3.003,7,44.81,44.02,1,1.974374,9.871872,0.2,0.303981,1000,1
1139380,0,0,250,44.18,250,3.003,7,44.81,44.18,1,1.974374,9.871872,0.2,0.303981,1000,1
1139390,0,0,250,44.3,250,3.003,7,44.81,44.3,1,1.974374,9.871872,0.2,0.303981,1000,1
1139400,0,0,250,44.41,250,3.003,7,44.81,44.41,1,1.974374,9.871872,0.2,0.303981,1000,1
1139410,0,0,250,44.49,250,3.003,7,44.81,44.49,1,1.974374,9.871872,0.2,0.303981,1000,1
